_join_year,player_name_clean_nfl,school_clean_nfl,position_nfl,pfr_player_id,gsis_id,player_id,player_name_clean_jack,school_clean_jack,position_jack,name_norm
1981,Russ Grimm,Pittsburgh,G,GrimRu00,00-0006475,18068,Russ Grimm,Pittsburgh,Offensive Guard,russ grimm
1981,Marvin Harvey,Southern Miss,TE,HarvMa20,HAR800358,18069,Marvin Harvey,Southern Miss,Tight End,marvin harvey
1981,Hoby Brenner,USC,TE,BrenHo00,00-0001732,18070,Hoby Brenner,USC,Tight End,hoby brenner
1981,Don Greco,Western Illinois,G,GrecDo20,GRE028638,18071,Don Greco,Western Illinois,Offensive Guard,don greco
1981,Rick Donnalley,North Carolina,C,DonnRi20,DON511120,18072,Rick Donnalley,North Carolina,,rick donnalley
1981,Tim Irwin,Tennessee,T,IrwiTi20,00-0008053,18073,Tim Irwin,Tennessee,Offensive Tackle,tim irwin
1981,Roger Taylor,Oklahoma St.,T,TaylRo21,TAY661050,18074,Roger Taylor,Oklahoma State,Offensive Tackle,roger taylor
1981,Mike Mosley,Texas A&M,WR,MoslMi00,MOS415282,18075,Mike Mosley,Texas A&M,Wide Receiver,mike mosley
1981,Irvin Phillips,Arkansas Tech,DB,PhilIr20,PHI223615,18076,Irvin Phillips,Arkansas Tech,Defensive Back,irvin phillips
1981,Lloyd Burruss,Maryland,DB,BurrLl00,00-0002344,18077,Lloyd Burruss,Maryland,Defensive Back,lloyd burruss
1981,Scott Woerner,Georgia,DB,WoerSc20,WOE553722,18079,Scott Woerner,Georgia,Defensive Back,scott woerner
1981,Glen Titensor,BYU,G,TiteGl20,TIT237308,18080,Glen Titensor,BYU,Defensive End,glen titensor
1981,Greg LaFleur,LSU,TE,LaFlGr00,LAF355962,18081,Greg LaFleur,LSU,Tight End,greg lafleur
1981,Robert Geathers,South Carolina St.,DT,,,18082,Robert Geathers,South Carolina State,Defensive Tackle,robert geathers
1981,Sam Greene,UNLV,WR,,,18083,Sam Greene,UNLV,Wide Receiver,sam greene
1981,Al Washington,Ohio St.,LB,WashAl20,WAS021297,18085,Al Washington,Ohio State,Linebacker,al washington
1981,Scott Phillips,BYU,WR,,,18086,Scott Phillips,BYU,Wide Receiver,scott phillips
1981,Steve Rhodes,Oklahoma,WR,,,18087,Steve Rhodes,Oklahoma,Wide Receiver,steve rhodes
1981,John Holt,West Texas A&M,DB,HoltJo20,HOL743760,18088,John Holt,West Texas A&M,Defensive Back,john holt
1981,Tom Flick,Washington,QB,FlicTo00,FLI207645,18089,Tom Flick,Washington,Quarterback,tom flick
1981,Scott Pelluer,Washington St.,LB,PellSc20,PEL622932,18090,Scott Pelluer,Washington State,Linebacker,scott pelluer
1981,Mike Robinson,Arizona,DE,RobiMi20,ROB659044,18091,Mike Robinson,Arizona,Defensive End,mike robinson
1981,Guy Frazier,Wyoming,LB,FrazGu20,FRA764614,18092,Guy Frazier,Wyoming,Linebacker,guy frazier
1981,Tim Sherwin,Boston Col.,TE,SherTi00,SHE795195,18093,Tim Sherwin,Boston College,Tight End,tim sherwin
1981,Todd Bell,Ohio St.,DB,BellTo00,BEL618830,18094,Todd Bell,Ohio State,Defensive Back,todd bell
1981,Brad Wright,New Mexico,QB,,,18095,Brad Wright,New Mexico,Quarterback,brad wright
1981,Ron Washington,Arizona St.,WR,,,18096,Ron Washington,Arizona State,Wide Receiver,ron washington
1981,Mark Herrmann,Purdue,QB,HerrMa00,00-0007340,18097,Mark Herrmann,Purdue,Quarterback,mark herrmann
1981,Tracy Porter,LSU,WR,PortTr00,POR638910,18098,Tracy Porter,LSU,Wide Receiver,tracy porter
1981,Robbie Martin,Cal Poly-San Luis Obispo,WR,MartRo20,MAR688603,18099,Robbie Martin,Cal Poly,Wide Receiver,robbie martin
1981,John Swain,Miami (FL),DB,SwaiJo20,SWA110744,18100,John Swain,Miami (FL),Defensive Back,john swain
1981,Don Blackmon,Tulsa,LB,BlacDo20,BLA276848,18101,Don Blackmon,Tulsa,Linebacker,don blackmon
1981,Amos Lawrence,North Carolina,RB,LawrAm20,LAW216672,18102,Amos Lawrence,North Carolina,Running Back,amos lawrence
1981,George Lilja,Michigan,G,LiljGe20,LIL249174,18103,George Lilja,Michigan,,george lilja
1981,Richard Turner,Oklahoma,NT,TurnRi20,TUR650016,18104,Richard Turner,Oklahoma,Defensive Tackle,richard turner
1981,Nick Eyre,BYU,T,EyreNi20,EYR415291,18105,Nick Eyre,BYU,Offensive Tackle,nick eyre
1981,Eric Sievers,Maryland,TE,SievEr00,SIE771251,18106,Eric Sievers,Maryland,Tight End,eric sievers
1981,Derrie Nelson,Nebraska,LB,NelsDe21,NEL332232,18107,Derrie Nelson,Nebraska,Linebacker,derrie nelson
1981,John Scully,Notre Dame,G,SculJo20,SCU415290,18108,John Scully,Notre Dame,,john scully
1981,Calvin Murray,Ohio St.,RB,MurrCa20,MUR673578,18109,Calvin Murray,Ohio State,Running Back,calvin murray
1981,Johnny Robinson,Louisiana Tech,NT,RobiJo21,ROB577792,18110,Johnny Robinson,Louisiana Tech,Defensive Tackle,johnny robinson
1981,Louis Oubre,Oklahoma,G,OubrLo20,OUB415291,18111,Louis Oubre,Oklahoma,Offensive Tackle,louis oubre
1981,Tyrone Keys,Mississippi St.,DE,KeysTy20,KEY646009,18112,Tyrone Keys,Mississippi State,Defensive End,tyrone keys
1981,Edwin Bailey,South Carolina St.,G,BailEd20,00-0000591,18113,Edwin Bailey,South Carolina State,Offensive Guard,edwin bailey
1981,Bill Neill,Pittsburgh,NT,NeilBi20,NEI664464,18114,Bill Neill,Pittsburgh,Defensive Tackle,bill neill
1981,John Gillen,Illinois,LB,GillJo20,GIL381616,18115,John Gillen,Illinois,Linebacker,john gillen
1981,Byron Braggs,Alabama,DE,BragBy20,BRA384134,18116,Byron Braggs,Alabama,Defensive Tackle,byron braggs
1981,James Davis,Southern,DB,DaviJa23,DAV426474,18117,James Davis,Southern University,Defensive Back,james davis
1981,Dexter Manley,Oklahoma St.,DE,ManlDe00,00-0010337,18118,Dexter Manley,Oklahoma State,Defensive End,dexter manley
1981,Benjie Pryor,Pittsburgh,TE,,,18119,Benjie Pryor,Pittsburgh,Tight End,benjie pryor
1981,Lynn Thomas,Pittsburgh,DB,ThomLy20,THO369782,18120,Lynn Thomas,Pittsburgh,Defensive Back,lynn thomas
1981,Arrington Jones,Winston-Salem St.,RB,JoneAr20,JON066440,18121,Arrington Jones,Winston-Salem,Running Back,arrington jones
1981,Wendell Ray,Missouri,DE,,,18122,Wendell Ray,Missouri,Defensive End,wendell ray
